Tag7,,Tag3,
43.7,good,1,good
43.8,good,1,good
43.6,good,1,good
43.6,good,1,good
43.7,good,1,good
43.7,good,1,good
43.5,good,1,good
43.6,good,1,good
43.6,good,1,good
43.6,good,1,good
43.6,good,1,good
43.5,good,1,good
43.5,good,1,good
43.4,good,1,good
43.4,good,1,good
43.3,good,1,good
43.4,good,1,good
43.4,good,1,good
43.5,good,1,good
43.3,good,1,good
43.3,good,1,good
43.2,good,1,good
43.2,good,1,good
43.2,good,1,good
43.4,good,1,good
43.2,good,1,good
43.2,good,1,good
43,good,1,good
43.2,good,1,good
43.2,good,1,good
43.2,good,1,good
43,good,1,good
43.2,good,1,good
43.3,good,1,good
43.6,good,1,good
43.6,good,1,good
43.7,good,1,good
44.1,good,1,good
44.5,good,1,good
44.9,good,1,good
45.6,good,1,good
45.6,good,1,good
45.6,good,1,good
46.8,good,1,good
47.4,good,1,good
48.2,good,1,good
49,good,1,good
49.3,good,1,good
49.9,good,1,good
50.5,good,1,good
50.8,good,1,good
51.7,good,1,good
52.1,good,1,good
52.4,good,1,good
53.1,good,1,good
53.3,good,1,good
53.6,good,1,good
54,good,1,good
54.6,good,1,good
55.1,good,1,good
55.2,good,1,good
55.5,good,1,good
55.7,good,1,good
56.1,good,1,good
56.4,good,1,good
56.5,good,1,good
56.7,good,1,good
57.2,good,1,good
57.4,good,1,good
57.6,good,1,good
57.5,good,1,good
58,good,1,good
58.3,good,1,good
58.5,good,1,good
59,good,1,good
59.5,good,1,good
59.5,good,1,good
59.5,good,1,good
59.8,good,1,good
59.4,good,1,good
59.3,good,1,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
38,good,1,good
38.3,good,1,good
38.4,good,1,good
38.6,good,1,good
39,good,1,good
39.2,good,1,good
39.4,good,1,good
39.7,good,1,good
39.7,good,1,good
40.1,good,1,good
40.4,good,1,good
40.4,good,1,good
40.6,good,1,good
40.7,good,1,good
40.9,good,1,good
40.9,good,1,good
41.1,good,1,good
41.1,good,1,good
41.1,good,1,good
41.2,good,1,good
41.3,good,1,good
41.3,good,1,good
41.2,good,1,good
41.2,good,1,good
41.2,good,1,good
41.1,good,1,good
41.2,good,1,good
41.3,good,1,good
41.3,good,1,good
41.3,good,1,good
41.2,good,1,good
41.4,good,1,good
41.3,good,1,good
41.3,good,1,good
41.3,good,1,good
41.3,good,1,good
41.3,good,1,good
41.1,good,1,good
41.2,good,1,good
41.1,good,1,good
41.3,good,1,good
41.2,good,1,good
41.1,good,1,good
41.2,good,1,good
41.2,good,1,good
41,good,1,good
41.2,good,1,good
41.1,good,1,good
41.1,good,1,good
41.2,good,1,good
41.1,good,1,good
41.3,good,1,good
41.2,good,1,good
41.2,good,1,good
41.1,good,1,good
41,good,1,good
41.1,good,1,good
41.2,good,1,good
41.1,good,1,good
41.1,good,1,good
41,good,1,good
41.2,good,1,good
41.2,good,1,good
41.1,good,1,good
41.1,good,1,good
41.1,good,1,good
41,good,1,good
41,good,1,good
41.1,good,1,good
41.1,good,1,good
41.2,good,1,good
41.1,good,1,good
41.2,good,1,good
41.1,good,1,good
41.1,good,1,good
41,good,1,good
41.1,good,1,good
41,good,1,good
41.1,good,1,good
41,good,1,good
41.2,good,1,good
41,good,1,good
41,good,1,good
40.9,good,1,good
41.1,good,1,good
41.1,good,1,good
41,good,1,good
41.1,good,1,good
41.1,good,1,good
41.2,good,1,good
40.9,good,1,good
41.1,good,1,good
41.1,good,1,good
41.1,good,1,good
41,good,1,good
41.1,good,1,good
41.1,good,1,good
41.1,good,1,good
41.1,good,1,good
41.2,good,1,good
41.1,good,1,good
41.1,good,1,good
41.1,good,1,good
41.1,good,1,good
41.1,good,1,good
41.3,good,1,good
41.2,good,1,good
41.1,good,1,good
41.2,good,1,good
41.1,good,1,good
41.2,good,1,good
41,good,1,good
41.2,good,1,good
41.2,good,1,good
41.1,good,1,good
41.2,good,1,good
41.2,good,1,good
41.4,good,1,good
41.5,good,1,good
41.8,good,1,good
41.8,good,1,good
42.1,good,1,good
42.5,good,1,good
43,good,1,good
44.9,good,1,good
44.9,good,1,good
44.9,good,1,good
45.6,good,1,good
46.2,good,1,good
46.6,good,1,good
47.3,good,1,good
47.7,good,1,good
48.4,good,1,good
48.8,good,1,good
49.6,good,1,good
50.1,good,1,good
50.5,good,1,good
50.7,good,1,good
51.3,good,1,good
51.8,good,1,good
52.1,good,1,good
52.3,good,1,good
52.7,good,1,good
53,good,1,good
53.1,good,1,good
53.5,good,1,good
54,good,1,good
54,good,1,good
54.4,good,1,good
54.6,good,1,good
54.9,good,1,good
55,good,1,good
55.2,good,1,good
55.5,good,1,good
55.6,good,1,good
55.7,good,1,good
56.1,good,1,good
56.3,good,1,good
56.6,good,1,good
57.1,good,1,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
37.4,good,1,good
37.6,good,1,good
38,good,1,good
38,good,1,good
38.3,good,1,good
38.4,good,1,good
38.7,good,1,good
38.9,good,1,good
39,good,1,good
39.2,good,1,good
39.3,good,1,good
39.5,good,1,good
39.5,good,1,good
39.7,good,1,good
39.7,good,1,good
39.8,good,1,good
39.8,good,1,good
39.8,good,1,good
40,good,1,good
40,good,1,good
40,good,1,good
39.9,good,1,good
39.9,good,1,good
39.9,good,1,good
40.1,good,1,good
40,good,1,good
40.1,good,1,good
39.9,good,1,good
40.1,good,1,good
40,good,1,good
40,good,1,good
40,good,1,good
40.2,good,1,good
40.1,good,1,good
40,good,1,good
40,good,1,good
40.1,good,1,good
40,good,1,good
40.1,good,1,good
40,good,1,good
39.9,good,1,good
39.9,good,1,good
40,good,1,good
40.1,good,1,good
40,good,1,good
39.7,good,1,good
40,good,1,good
39.8,good,1,good
39.9,good,1,good
39.8,good,1,good
39.8,good,1,good
40,good,1,good
39.8,good,1,good
39.9,good,1,good
39.8,good,1,good
39.7,good,1,good
39.7,good,1,good
39.7,good,1,good
39.7,good,1,good
39.7,good,1,good
39.7,good,1,good
39.7,good,1,good
39.6,good,1,good
39.5,good,1,good
39.6,good,1,good
39.5,good,1,good
39.4,good,1,good
39.4,good,1,good
39.3,good,1,good
39.3,good,1,good
39.4,good,1,good
39.3,good,1,good
39.4,good,1,good
39.3,good,1,good
39.3,good,1,good
39.2,good,1,good
39.1,good,1,good
39.2,good,1,good
39,good,1,good
39.2,good,1,good
39.1,good,1,good
39,good,1,good
38.9,good,1,good
38.9,good,1,good
38.9,good,1,good
38.8,good,1,good
38.9,good,1,good
38.8,good,1,good
38.7,good,1,good
38.8,good,1,good
38.8,good,1,good
38.8,good,1,good
38.6,good,1,good
38.6,good,1,good
38.7,good,1,good
38.7,good,1,good
38.5,good,1,good
38.6,good,1,good
38.5,good,1,good
38.5,good,1,good
38.3,good,1,good
38.3,good,1,good
38.3,good,1,good
38.3,good,1,good
38.3,good,1,good
38.3,good,1,good
38.2,good,1,good
38.3,good,1,good
38.3,good,1,good
38.4,good,1,good
38.3,good,1,good
38.1,good,1,good
38.3,good,1,good
38.3,good,1,good
38.3,good,1,good
38.3,good,1,good
38.6,good,1,good
38.8,good,1,good
39,good,1,good
39.4,good,1,good
39.8,good,1,good
41.8,good,1,good
41.8,good,1,good
41.8,good,1,good
44.2,good,1,good
44.6,good,1,good
45,good,1,good
45.8,good,1,good
46.3,good,1,good
46.9,good,1,good
47.4,good,1,good
47.6,good,1,good
48,good,1,good
48.5,good,1,good
49,good,1,good
49.3,good,1,good
49.7,good,1,good
50.1,good,1,good
50.5,good,1,good
50.6,good,1,good
51.3,good,1,good
51.3,good,1,good
51.7,good,1,good
51.8,good,1,good
52.2,good,1,good
52.4,good,1,good
52.9,good,1,good
53,good,1,good
53.4,good,1,good
53.7,good,1,good
53.6,good,1,good
54,good,1,good
54.1,good,1,good
54.4,good,1,good
54.5,good,1,good
54.9,good,1,good
55,good,1,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
53.8,good,1,good
54.2,good,1,good
54.5,good,1,good
54.6,good,1,good
55,good,1,good
55,good,1,good
55.3,good,1,good
55.5,good,1,good
55.7,good,1,good
56,good,1,good
56,good,1,good
56.2,good,1,good
56.4,good,1,good
56.5,good,1,good
56.5,good,1,good
56.6,good,1,good
56.5,good,1,good
56.7,good,1,good
56.6,good,1,good
56.7,good,1,good
56.7,good,1,good
56.7,good,1,good
56.8,good,1,good
56.8,good,1,good
56.8,good,1,good
56.9,good,1,good
56.8,good,1,good
56.7,good,1,good
56.9,good,1,good
56.9,good,1,good
56.9,good,1,good
56.8,good,1,good
56.9,good,1,good
56.9,good,1,good
56.8,good,1,good
57,good,1,good
56.8,good,1,good
57,good,1,good
57,good,1,good
56.9,good,1,good
56.8,good,1,good
56.8,good,1,good
56.7,good,1,good
56.7,good,1,good
56.8,good,1,good
56.6,good,1,good
56.7,good,1,good
56.6,good,1,good
56.8,good,1,good
56.5,good,1,good
56.6,good,1,good
56.7,good,1,good
56.5,good,1,good
56.6,good,1,good
56.5,good,1,good
56.5,good,1,good
56.5,good,1,good
56.5,good,1,good
56.5,good,1,good
56.4,good,1,good
56.4,good,1,good
56.3,good,1,good
56.3,good,1,good
56.2,good,1,good
56.2,good,1,good
56.1,good,1,good
56.2,good,1,good
56.2,good,1,good
56.1,good,1,good
56.1,good,1,good
56.1,good,1,good
56.1,good,1,good
55.9,good,1,good
56,good,1,good
55.9,good,1,good
55.8,good,1,good
55.8,good,1,good
55.9,good,1,good
55.7,good,1,good
55.7,good,1,good
55.7,good,1,good
55.7,good,1,good
55.7,good,1,good
55.6,good,1,good
55.6,good,1,good
55.5,good,1,good
55.8,good,1,good
55.4,good,1,good
55.5,good,1,good
55.6,good,1,good
55.5,good,1,good
55.5,good,1,good
55.5,good,1,good
55.6,good,1,good
55.5,good,1,good
55.5,good,1,good
55.6,good,1,good
55.5,good,1,good
55.3,good,1,good
55.5,good,1,good
55.4,good,1,good
55.3,good,1,good
55.4,good,1,good
55.4,good,1,good
55.4,good,1,good
55.5,good,1,good
55.2,good,1,good
55.4,good,1,good
55.3,good,1,good
55.5,good,1,good
55.2,good,1,good
55.3,good,1,good
55.3,good,1,good
55.2,good,1,good
55.4,good,1,good
55.4,good,1,good
55.8,good,1,good
55.7,good,1,good
56.2,good,1,good
56.4,good,1,good
56.8,good,1,good
59.1,good,1,good
59.1,good,1,good
59.1,good,1,good
59.7,good,1,good
60.3,good,1,good
60.7,good,1,good
61.4,good,1,good
61.9,good,1,good
62.4,good,1,good
62.9,good,1,good
63.3,good,1,good
63.6,good,1,good
64.6,good,1,good
64.6,good,1,good
64.8,good,1,good
65.2,good,1,good
65.5,good,1,good
65.7,good,1,good
66,good,1,good
66,good,1,good
66.3,good,1,good
66.6,good,1,good
66.7,good,1,good
66.9,good,1,good
66.9,good,1,good
67.2,good,1,good
67.1,good,1,good
67.3,good,1,good
67.8,good,1,good
67.8,good,1,good
68,good,1,good
68.2,good,1,good
68.4,good,1,good
68.5,good,1,good
68.6,good,1,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
0,good,0,good
48.8,good,1,good
48.8,good,1,good
49.2,good,1,good
49.3,good,1,good
49.8,good,1,good
50,good,1,good
50.2,good,1,good
50.5,good,1,good
50.6,good,1,good
50.9,good,1,good
51,good,1,good
51.2,good,1,good
51.4,good,1,good
